nom site;Polluant;valeur brute;Latitude;Longitude
Valence Urb. Centre;PM2.5;10.374262769878886;44.933514;4.893481
Romans-sur-Isère;PM2.5;10.068005157487587;45.0425;5.0443
Drôme Rurale Sud-SND;PM2.5;4.78997909589756;44.569443;5.278972
A7 Valence Est;PM2.5;9.711847575057696;44.9492;4.890133
AJACCIO CANETTO;PM2.5;9.284982618771743;41.924694;8.735694
BASTIA MONTESORO;PM2.5;8.673013715556637;42.671333;9.434639
VENACO;PM2.5;4.370783645655896;42.236028;9.190028
Strasbourg Neudorf Ecoquartier Danube;PM2.5;14.50224089635855;48.572808;7.767833
Besancon Prevoyance;PM2.5;9.165503696857732;47.2474;6.015419
Montbéliard centre;PM2.5;10.661668597914243;47.510307;6.794
Lons-le-Saunier CV;PM2.5;6.422691323563612;46.671307;5.556806
Baume-les-Dames;PM2.5;9.545556584124034;47.351288;6.359722
