nom site;Polluant;valeur brute;Latitude;Longitude
Gresivaudan Periurb;PM10;14.249264312466618;45.2797;5.8822
Nord-Est Alsace;PM10;14.473885497062527;48.919357;8.158458
STG Nord;PM10;19.166445182724242;48.610363;7.781631
STG Clemenceau;PM10;22.11053842613913;48.59043;7.744983
Strasbourg A35;PM10;23.86554176364109;48.575985;7.727478
Colmar Centre;PM10;16.186118784530382;48.074642;7.350667
Mulhouse Nord;PM10;16.30769611482309;47.757435;7.347294
C.C.3 Frontières;PM10;15.46092205104618;47.594913;7.568175
Mulhouse Sud 2;PM10;15.20847614636407;47.737415;7.309075
Mulhouse-Briand;PM10;19.40574157174084;47.747684;7.321364
Vosges Moyennes 2;PM10;7.631249999999985;48.492992;7.1298
Nogent sur Oise;PM10;18.532459108855058;49.276386;2.482167
Salouel;PM10;17.5750378743736;49.86889;2.239806
Arrest;PM10;19.94996204453447;50.129448;1.610833
P. Roth St Quentin;PM10;17.56440578347238;49.851334;3.284
Faiencerie Creil;PM10;17.650754270041073;49.259552;2.474397
St Pierre Amiens;PM10;18.866952789699567;49.901667;2.304597
Trafic Beauvais 1;PM10;19.317876658860236;49.435932;2.084292
Rennes Laennec;PM10;18.153325648414935;48.10861;-1.66586
Serv Tech Guipry;PM10;16.404221364221364;47.83192;-1.83633
Brest Mace;PM10;17.264677720691253;48.38618;-4.4866
Brest Desmoulins;PM10;18.344096502985305;48.39746;-4.48871
Rennes Pays-Bas;PM10;13.451582975762516;48.08965;-1.65911
Lorient B. Bissonnet;PM10;15.089450151057438;47.7425;-3.39501
Vannes UTA;PM10;13.59445727482683;47.64892;-2.76399
Quimper Pommiers;PM10;16.813942938999624;47.99612;-4.09972
Saint Brieuc Balzac;PM10;15.450885648873333;48.51351;-2.74953
StMalo Rocabey;PM10;19.488696655132756;48.65306;-2.00268
A7 SUD LYONNAIS;PM10;27.18587511606318;45.720024;4.818156
GERLAND;PM10;16.37048199835822;45.73529;4.829794
GRANDCLEMENT;PM10;20.789724404539225;45.75836;4.886214
FEYZIN STADE;PM10;17.081885073580857;45.6639;4.8459
ST FONS CENTRE;PM10;19.208135917683624;45.7078;4.8644
TERNAY;PM10;17.841953441295534;45.6019;4.8022
GENAS;PM10;9.578378378378378;45.7317;4.9803
VAULX EN VELIN;PM10;16.15079090174342;45.7789;4.9247
COTIERE AIN;PM10;13.3982985214738;45.823223;4.953958
SAINT EXUPERY;PM10;14.864816262705224;45.7533;5.0722
LYON Centre;PM10;18.802661955241497;45.757732;4.854214
Lyon Périphérique;PM10;23.182786219696077;45.77482;4.898572
LYON TRAFIC JAURES;PM10;19.306836902800754;45.7496944;4.84438888888888
Villefranche Centre;PM10;14.303368445421961;45.990112;4.715566
Caen Chemin-Vert;PM10;16.303828934967;49.19222;-0.391111
Caen Vaucelles;PM10;18.94656345296736;49.175278;-0.353611
