nom site;Polluant;valeur brute;Latitude;Longitude
Rennes St-Yves;NO2;15.229520937246214;48.11075;-1.68292
Brest Mace;NO2;11.183195335277242;48.38618;-4.4866
Brest Desmoulins;NO2;26.700195110754084;48.39746;-4.48871
Lorient CTM;NO2;9.925791642142476;47.75171;-3.37501
Lorient B. Bissonnet;NO2;8.650970987365584;47.7425;-3.39501
Vannes UTA;NO2;8.68099307159352;47.64892;-2.76399
QUIMPER ZOLA;NO2;9.19734523533514;47.986606;-4.097658
Saint Brieuc Balzac;NO2;11.146258262511768;48.51351;-2.74953
StMalo Rocabey;NO2;10.888617121354704;48.65306;-2.00268
A7 SUD LYONNAIS;NO2;52.61941690962108;45.720024;4.818156
GERLAND;NO2;29.283079140146487;45.73529;4.829794
GRANDCLEMENT;NO2;32.06936309914646;45.75836;4.886214
ST FONS CENTRE;NO2;24.12832582404552;45.7078;4.8644
TERNAY;NO2;17.17951236422467;45.6019;4.8022
GENAS;NO2;12.097297297297297;45.7317;4.9803
VAULX EN VELIN;NO2;21.236560743375048;45.7789;4.9247
COTIERE AIN;NO2;7.539046746104555;45.823223;4.953958
SAINT EXUPERY;NO2;13.120069686411151;45.7533;5.0722
LYON Centre;NO2;23.735167088912963;45.757732;4.854214
Lyon Périphérique;NO2;61.96868290430581;45.77482;4.898572
LYON TRAFIC JAURES;NO2;36.93372726219457;45.7496944;4.84438888888888
Villefranche Centre;NO2;20.3571658800507;45.990112;4.715566
Caen Chemin-Vert;NO2;13.973994606636127;49.19222;-0.391111
Caen Vaucelles;NO2;24.974800969193417;49.175278;-0.353611
IFS Caen sud;NO2;14.003735902255626;49.15167;-0.352778
Lisieux;NO2;10.997624014835383;49.147224;0.227222
Alençon Météo-France;NO2;9.536809744779582;48.445553;0.110833
cherbourg doumer;NO2;12.961958918417091;49.63639;-1.626667
Cherbourg Hotel de Ville;NO2;15.22665099882489;49.64225;-1.624361
Saint-Lô Eglise;NO2;10.6223075160403;49.11639;-1.084722
Moult proximité;NO2;11.817472366493488;49.117196;-0.169666
Mondeville Calmette;NO2;29.874845800443754;49.1783028;-0.31905
Ecole de Carling(9);NO2;15.655040111614952;49.165726;6.716886
L Hôpital - Mairie;NO2;14.163336626327498;49.158413;6.731664
Spicheren(14);NO2;10.567497048406123;49.19539;6.957444
SCHOENECK (19);NO2;12.356420733131008;49.220364;6.925833
Station de FORBACH;NO2;17.949453280318092;49.18742;6.910867
AMPERE;NO2;7.682806004618938;47.324097;-2.081567
LA MEGRETAIS;NO2;7.836035406475668;47.322706;-2.039244
FROSSAY;NO2;5.048228007799051;47.24747;-1.936619
S ETIENNE DE MONTLUC;NO2;5.1730349971313965;47.28318;-1.783164
JULES VERNE;NO2;10.486975945017189;47.315727;-2.190764
SAINT EXUPERY;NO2;9.865731944603388;47.054443;-0.886111
LA CHAUVINIERE;NO2;13.110734721904327;47.252777;-1.573333
LEON BLUM;NO2;9.126774566474012;47.26412;-2.249858
BEAUX ARTS;NO2;13.461397861823176;47.468513;-0.556053
MAZAGRAN;NO2;11.353748426233278;48.06943;-0.767692
LA TARDIERE;NO2;4.128764766601682;46.656685;-0.743681
VICTOR HUGO;NO2;30.79741972477051;47.204356;-1.552914
APPENTIS;NO2;9.722408801389673;47.44739;-0.550067
DELACROIX;NO2;8.557275541795683;46.6607;-1.436831
BONNE FONTAINE;NO2;7.061506707946319;47.331524;-2.151625
GUEDOU;NO2;12.699023709902304;47.98892;0.195983
SAINT-DENIS D'ANJOU;NO2;4.7888542388542295;47.78773;-0.444044
PARC PAYSAGER;NO2;8.975508095074042;47.273056;-2.223056
SOURCES;NO2;11.051897852582734;47.971066;0.221422
CIM BOUTEILLERIE;NO2;13.206828985507224;47.2225;-1.5375
LEVOYER;NO2;15.11045699232621;47.1941472;-1.581677778
LES COUETS;NO2;15.672593950504204;47.1859194;-1.59149722222222
ANTIBES JEAN MOULIN;NO2;28.811960904092928;43.598803;7.093153
CANNES BROUSSAILLES;NO2;20.20700384430569;43.558389;7.005919
MANOSQUE;NO2;10.177061589631856;43.835784;5.786131
CONTES 2;NO2;16.874001158077633;43.788748;7.332382
GAP COMMANDERIE;NO2;19.43968492992002;44.555193;6.073015
NICE PROMENADE;NO2;37.80270489900152;43.689291;7.242074
NICE ARSON;NO2;30.73810891544123;43.702075;7.286256
GAP JEAN JAURES;NO2;26.546220128676442;44.548647;6.067237
Espace du Palais;NO2;21.543413516609423;49.442358;1.093789
Evreux Centre;NO2;13.016982214572543;49.02134;1.148319
Centre Hospitalier;NO2;15.914073056223515;49.4005;1.099042
Petit Quevilly;NO2;20.525277873266816;49.42815;1.058025
Dieppe prox-auto;NO2;32.940706836616464;49.918007;1.073972
Rouen Proxi Quai de Paris;NO2;39.60817566792783;49.436699;1.098838
Petit-Quevilly Sud 3;NO2;45.78769122146359;49.4341639;1.067052778
Dijon Péjoces;NO2;15.147970522868151;47.307368;5.065881
Morvan;NO2;3.014357405140768;47.274762;4.099476
Dijon Trémouille;NO2;19.953481463878312;47.325744;5.041056
Sens;NO2;10.614947074560844;48.200436;3.2773
Nevers;NO2;9.749316655084515;46.996828;3.171092
Nuits-Saint-Georges;NO2;17.969753157955715;47.137231;4.950573
Dijon-Transvaal;NO2;20.597483182556278;47.315459;5.040202
ROUSSILLON;NO2;23.284984915293567;45.36782;4.805147
ROCHES DE CONDRIEU;NO2;14.344356047503751;45.454517;4.766528
Sablons;NO2;11.602422580276551;45.321845;4.770702
Bourgoin-Jallieu;NO2;11.393386108273761;45.60822;5.270872
A7 Nord-Isère;NO2;37.4205613254206;45.35327;4.804847
Plateau de Bonnevaux;NO2;4.521109915081935;45.4609;5.181081
Harnes Serres;NO2;16.183252012686104;50.44914;2.9
St-Laurent-Blangy;NO2;15.368401400233385;50.30886;2.807369
Bethune Stade;NO2;14.190578034682076;50.535385;2.635692
Noeux-les-Mines;NO2;10.654546508930645;50.48972;2.66642
ROANNE;NO2;17.688124928497842;46.04111;4.074656
SAINT ETIENNE SUD;NO2;16.83296526339998;45.42009;4.395422
SAINT-CHAMOND;NO2;24.277789449112934;45.475327;4.515003
RIVE DE GIER;NO2;32.179869535362805;45.533424;4.623939
LA TALAUDIERE;NO2;12.681822349570208;45.481777;4.429667
ST ETIENNE BD URBAIN;NO2;32.6106857869783;45.4479806;4.388763889
Hotel Districal;NO2;23.92430184932362;48.685856;6.175111
Remiremont;NO2;15.496130577262418;48.024605;6.585836
Epinal;NO2;12.596162242904702;48.17278;6.452811
Bar Le Duc;NO2;15.01400580551526;48.77586;5.162789
Fléville;NO2;17.33895577542019;48.621502;6.194922
St-Nicolas;NO2;12.933008469660054;48.63334;6.304828
Luneville;NO2;21.792823824901326;48.584824;6.4839
Schlucht;NO2;3.794574117071999;48.051117;7.011114
Heming;NO2;10.033676181671085;48.694725;6.965275
Jonville en Woevre;NO2;5.83549593705662;49.06583;5.785556
Nancy-Charles III;NO2;18.04255765199158;48.68817;6.190431
Nancy-Libération;NO2;23.648469387755082;48.69708;6.154194
Nancy-Brabois 2;NO2;12.828986625514363;48.656944;6.136022
GRAND PARC;NO2;13.855986721611702;44.86139;-0.579444
TALENCE;NO2;14.93385721247561;44.800556;-0.588056
BORDEAUX-BASTIDE;NO2;19.545645080321314;44.849724;-0.543889
MERIGNAC;NO2;23.021096751659034;44.84139;-0.65
BASSENS;NO2;14.407856650585789;44.900276;-0.514722
LE TEMPLE;NO2;2.6086858632539487;44.865555;-0.939444
AMBES;NO2;6.939187782020146;45.012223;-0.528333
BILLERE;NO2;11.558734413238554;43.310833;-0.391111
HAMEAU;NO2;18.775365344467637;43.307777;-0.322778
SAINT-CROUTS;NO2;14.335331648007678;43.47972;-1.488056
ANGLET;NO2;24.04894901869694;43.494031;-1.528765
LACQ;NO2;10.657677730561668;43.410557;-0.616944
LABASTIDE CEZERACQ;NO2;8.989630426982421;43.376276;-0.538192
MOURENX;NO2;4.611151288930362;43.376945;-0.609444
PERIGUEUX;NO2;10.044670050761436;45.18972;0.727222
DAX;NO2;11.553566417212377;43.704723;-1.038611
PAU TOURASSE;NO2;25.759550432276697;43.31109;-0.352119
MARMANDE;NO2;16.47914047319702;44.508656;0.142503
MONT DE MARSAN;NO2;15.42895884919232;43.8961;-0.491403
Biarritz-hippodrome;NO2;12.63381204044112;43.47024;-1.553843
Bordeaux_GAUTIER;NO2;40.18799536500583;44.83383;-0.59853
Chalon Centre Ville;NO2;24.293179396092338;46.782311;4.847322
Champforgueil;NO2;17.135971310478936;46.821056;4.835083
Montceau-les-Mines;NO2;14.52837410745643;46.678785;4.366893
Macon Paul Bert;NO2;17.795344395368314;46.316172;4.839994
PASTEUR;NO2;20.219322662955193;45.56472;5.928333
CHAMBERY LE HAUT;NO2;14.773840251133592;45.59667;5.918611
Chambéry Trafic;NO2;28.66453460620533;45.56943;5.932986
SAINT JEAN;NO2;11.850904482083168;45.274723;6.349722
Maurienne Trafic;NO2;15.058787386969597;45.209364;6.480326
CHAMONIX;NO2;21.236957765823504;45.9225;6.87
Albertville;NO2;17.953376700177508;45.675;6.389722
LOVERCHY;NO2;22.546389622316518;45.89528;6.118333
NOVEL;NO2;15.503134362756427;45.916943;6.135556
ANNECY Rocade;NO2;32.92096567771946;45.9097;6.11825
ANNEMASSE;NO2;20.923171987641577;46.19583;6.240556
GAILLARD;NO2;15.683771929824598;46.19369;6.214858
ANNEMASSE TRAFIC;NO2;26.34355660494585;46.1908111;6.23553611111111
PASSY;NO2;15.642467054493704;45.92361;6.713611
BOSSONS;NO2;41.09971382783877;45.907223;6.845833
St Germain/Rhône;NO2;6.609878866282499;46.072224;5.820833
Bourg-en-Bresse;NO2;15.080275176321036;46.211666;5.226389
Gambetta;NO2;27.94301605504582;47.907083;1.901139
St Jean;NO2;9.910623864324643;47.917398;1.966258
Montargis;NO2;10.242883613202064;47.997889;2.7195
Joué lès Tours;NO2;11.875303690121529;47.344139;0.653778
La Bruyère;NO2;10.747981854135144;47.419083;0.682944
Pompidou;NO2;28.516936688498227;47.394639;0.704861
La_Source-CNRS;NO2;8.691660915573944;47.83775;1.944667
Bourges-Baffier;NO2;14.012200790146375;47.075044;2.407183
Leblanc;NO2;10.105217691776161;47.082778;2.405333
Verneuil;NO2;2.5311820574436523;46.814694;2.610069
Dreux Centre;NO2;10.613500115287074;48.729694;1.358472
Saint-Remy;NO2;28.110908457249153;48.760889;1.233639
Chartres_trafic;NO2;19.457254992496875;48.449158;1.492469
Chateauroux Sud;NO2;8.864626400277203;46.798278;1.693139
Issoudun_Trafic_ZR;NO2;15.233303775018982;46.942941;2.003258
Blois nord;NO2;8.778462770216185;47.594256;1.302667
Montargis_trafic;NO2;21.468440130963536;48.006936;2.740111
ST JUNIEN - Fontaine;NO2;6.220099711361851;45.89;0.9
LIMOGES - Présidial;NO2;17.667361111111106;45.8311;1.256875
BRIVE - Dalton;NO2;12.804568106312255;45.158745;1.537222
GUERET - Nicolas;NO2;12.994122420588873;46.17;1.87
TULLE - Hugo;NO2;10.952562417871238;45.26;1.76
LIMOGES - Aine;NO2;27.32527800068781;45.829953;1.254846
SAILLAT - Ipaper;NO2;6.363779619470043;45.87583;0.823889
TULLE - Victor Hugo;NO2;20.9779176501443;45.263615;1.763889
LIMOGES - BERLAND;NO2;15.82508758758764;45.84222;1.25967
Valence Périurb. Sud;NO2;16.594824571628365;44.870243;4.876289
Valence Urb. Centre;NO2;20.17321133412043;44.933514;4.893481
Romans-sur-Isère;NO2;13.342867068087116;45.0425;5.0443
Drôme Rurale Sud-SND;NO2;1.379030413903495;44.569443;5.278972
A7 Valence Est;NO2;30.80888427368188;44.9492;4.890133
AJACCIO CANETTO;NO2;16.796370192307684;41.924694;8.735694
BASTIA GIRAUD;NO2;10.939211300765177;42.697917;9.446417
AJACCIO PIATANICCIA;NO2;7.370567729083656;41.958028;8.820278
BASTIA LA MARANA;NO2;6.161140986672919;42.535833;9.475972
AJACCIO SPOSATA;NO2;7.950948574155828;41.949222;8.757583
BASTIA MONTESORO;NO2;6.800117205813416;42.671333;9.434639
BASTIA SAINT NICOLAS;NO2;21.877777777777776;42.700083;9.451722
AJACCIO DIAMANT;NO2;30.690140845070424;41.918306;8.736778
VENACO;NO2;1.3642715805095176;42.236028;9.190028
AJACCIO ABBATUCCI;NO2;32.111690456529516;41.92575;8.738278
BASTIA FANGO;NO2;17.575776693250816;42.702833;9.446389
Strasbourg Neudorf Ecoquartier Danube;NO2;31.003512396694255;48.572808;7.767833
Besancon Mégevand;NO2;22.407988405797056;47.235973;6.023611
Besancon Prevoyance;NO2;16.852878116989096;47.2474;6.015419
Montbéliard centre;NO2;18.88395690953316;47.510307;6.794
Belfort Octroi;NO2;22.591881443299044;47.640667;6.859278
Dole centre;NO2;13.368009725599212;47.09672;5.496389
Tavaux;NO2;8.889116212679909;47.04261;5.400897
Damparis;NO2;11.693997881605283;47.06564;5.415028
