Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZRE01;ZR GRAND-EST;FR01060;Malroy;Rurale près des villes;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;16.0;16.388196350718587;µg-m3;96.0;74;71.0;N;-1;49.16885;6.212669
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO GRAND EST;FR44ZAG02;ZAG METZ;FR01064;Metz- Pont Grilles;Urbaine;PM10;Trafic;3;Oui;mesures fixes;;Moy. annuelle;19.0;18.681563386944166;µg-m3;97.0;100;97.0;R;1;49.12508;6.181219
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02008;Port de Bouc Leque;Urbaine;PM10;Industrielle;;Oui;mesures fixes;;Moy. annuelle;23.0;22.88489510489509;µg-m3;98.0;100;98.0;R;1;43.401952;4.981919
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02009;Port Saint Louis;Périurbaine;PM10;Industrielle;;Oui;mesures fixes;;Moy. annuelle;18.0;18.04279410056903;µg-m3;99.0;99;98.0;R;1;43.39378;4.801024
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02013;Fos Les Carabins;Périurbaine;PM10;Industrielle;;Oui;mesures fixes;;Moy. annuelle;20.0;19.8471211365902;µg-m3;93.0;99;92.0;R;1;43.458927;4.934572
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02020;Rognac les Brets;Périurbaine;PM10;Industrielle;;Oui;mesures fixes;;Moy. annuelle;22.0;21.76304909560723;µg-m3;97.0;100;97.0;R;1;43.510802;5.220046
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR02022;Arles;Urbaine;PM10;Fond;;Oui;mesures fixes;;Moy. annuelle;22.0;22.257744969639212;µg-m3;97.0;99;96.0;R;1;43.675114;4.62921
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02026;Miramas Centre Ville;Urbaine;PM10;Fond;B;Oui;mesures fixes;;Moy. annuelle;15.0;14.801909511067818;µg-m3;95.0;99;94.0;R;1;43.584693;5.006452
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02029;Chateauneuf La Mede;Périurbaine;PM10;Industrielle;;Oui;mesures fixes;;Moy. annuelle;18.0;17.518539066111988;µg-m3;99.0;100;99.0;R;1;43.399546;5.113214
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02041;SALON;Urbaine;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;20.0;19.939830605471;µg-m3;100.0;100;100.0;R;1;43.639002;5.101097
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR02043;Marignane;Urbaine;PM10;Fond;2;Oui;mesures fixes;;Moy. annuelle;21.0;21.46711711711713;µg-m3;91.0;100;91.0;R;1;43.4165306;5.222281
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03006;MARSEILLE RABATAU;Urbaine;PM10;Trafic;2;Oui;mesures fixes;;Moy. annuelle;33.0;33.20252984986399;µg-m3;97.0;100;97.0;R;1;43.276451;5.39736
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03014;MARSEILLE ST LOUIS;Urbaine;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;20.0;20.46851002489853;µg-m3;87.0;100;87.0;R;1;43.348048;5.360119
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03021;AIX ROY RENE;Urbaine;PM10;Trafic;1;Oui;mesures fixes;;Moy. annuelle;25.0;24.780212591986814;µg-m3;98.0;99;98.0;R;1;43.524075;5.448164
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03029;AIX CENTRE ECOLE ART;Urbaine;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;19.0;18.61261335531744;µg-m3;97.0;99;97.0;R;1;43.530285;5.440912
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03030;GARDANNE;Périurbaine;PM10;Fond;2;Oui;mesures fixes;;Moy. annuelle;25.0;25.49316604995367;µg-m3;99.0;100;99.0;R;1;43.453584;5.466672
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG01;ZAG MARSEILLE-AIX;FR03043;MARSEILLE 5 AVENUES;Urbaine;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;18.0;17.887546904315162;µg-m3;98.0;99;97.0;R;1;43.305287;5.394716
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZRE01;ZR PROVENCE-ALPES-COTE D’AZUR;FR03067;BRIGNOLES;Périurbaine;PM10;Fond;0;Oui;mesures fixes;;Moy. annuelle;19.0;19.497205865373523;µg-m3;99.0;100;99.0;R;1;43.398731;6.075611
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03068;TOULON FOCH;Urbaine;PM10;Trafic;1;Oui;mesures fixes;;Moy. annuelle;28.0;27.53143608752827;µg-m3;98.0;98;95.0;R;1;43.126821;5.921605
2019/01/01 00:00:00;2019/12/31 23:59:59;ATMO SUD;FR93ZAG03;ZAG TOULON;FR03069;HYERES;Urbaine;PM10;Fond;1;Oui;mesures fixes;;Moy. annuelle;16.0;15.775840597758426;µg-m3;94.0;98;92.0;R;1;43.119737;6.131319
