Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;discriminant;Réglementaire;type d'évaluation;procédure de mesure;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04018;AUBERVILLIERS;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;30.0;29.95752886836023;µg-m3;99.0;100;99.0;R;1;48.9039;2.3847
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04024;GONESSE;Périurbaine;NO2;Fond;1;Oui;mesures fixes;;Moy. annuelle;23.0;23.0269208748425;µg-m3;100.0;100;100.0;R;1;48.99083;2.444722
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;20.0;20.125827280064605;µg-m3;99.0;100;99.0;R;1;48.799168;2.130556
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04031;Av Champs Elysees;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;40.0;40.48331810468597;µg-m3;87.0;100;87.0;R;1;48.86889;2.311944
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04034;VITRY-SUR-SEINE;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;28.237299717247943;µg-m3;97.0;100;97.0;R;1;48.7758;2.3758
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;28.45663809082477;µg-m3;99.0;100;99.0;R;1;48.82861;2.360278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZRE01;ZR ILE-DE-FRANCE;FR04038;Zone Rurale SO;Rurale régionale;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;8.0;7.840726087968382;µg-m3;98.0;100;98.0;R;1;48.581944;1.883333
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;25.0;24.89508196721304;µg-m3;95.0;100;95.0;R;1;48.95139;2.223611
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;32.0;31.818264014466525;µg-m3;79.0;24;19.0;N;-1;48.86212;2.344616
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04058;Auto A1 -Saint-Denis;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;73.0;73.33488805970174;µg-m3;98.0;100;98.0;R;1;48.925278;2.356667
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04059;SAINT-DENIS;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;29.0;28.52441638875657;µg-m3;96.0;100;96.0;R;1;48.93722;2.361667
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04060;PARIS 7eme;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;27.609182297413287;µg-m3;93.0;100;93.0;R;1;48.8572;2.2933
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04063;MANTES-LA-JOLIE;Périurbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;19.0;19.093873399545295;µg-m3;95.0;100;95.0;R;1;48.9964;1.7033
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04069;MELUN;Périurbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;18.0;18.498839076201087;µg-m3;92.0;100;92.0;R;1;48.54139;2.661389
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04071;Rue Bonaparte;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;45.0;45.238308335382335;µg-m3;93.0;100;93.0;R;1;48.856388;2.335278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04098;LOGNES;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;23.0;22.97940312536713;µg-m3;97.0;100;97.0;R;1;48.84028;2.635278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04100;VILLEMOMBLE;Urbaine;NO2;Fond;;Oui;mesures fixes;;Moy. annuelle;28.0;28.034687970360082;µg-m3;99.0;100;99.0;R;1;48.881947;2.507222
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04101;CHAMPIGNY-SUR-MARNE;Urbaine;NO2;Fond;A;Oui;mesures fixes;;Moy. annuelle;26.0;26.330856736580227;µg-m3;96.0;100;96.0;R;1;48.816387;2.5175
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04118;Place de l'Opéra;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;60.0;59.739570179699136;µg-m3;98.0;96;94.0;R;1;48.870274;2.3325
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04122;RN6-MELUN;Périurbaine;NO2;Trafic;A;Oui;mesures fixes;;Moy. annuelle;39.0;39.0053538000749;µg-m3;91.0;100;91.0;R;1;48.528057;2.653611
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04123;RN2-PANTIN;Urbaine;NO2;Trafic;A;Oui;mesures fixes;;Moy. annuelle;51.0;51.4220176048183;µg-m3;99.0;100;99.0;R;1;48.90222;2.390833
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04131;Boulevard Haussmann;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;49.0;49.10289955125991;µg-m3;99.0;100;99.0;R;1;48.873333;2.330278
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04135;Boulevard Soult;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;39.0;39.21518063495913;µg-m3;95.0;99;94.0;R;1;48.83796;2.408061
2019/01/01 00:00:00;2019/12/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04141;Quai des Celestins;Urbaine;NO2;Trafic;;Oui;mesures fixes;;Moy. annuelle;54.0;53.85649290202514;µg-m3;98.0;100;98.0;R;1;48.85278;2.360556
